No.,Kabupaten/Kota,Province,Institution,item_title, quantity ,unit,Realisasi Program,Year,Valid,Tautan,item_title,item_title_english
150,Kota Surabaya,Jawa Timur,CGS-CIMB Sekuritas Indonesia dan Seasoldier,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ",1000,seedlings,1000 bibit mangrove ditanam,2022,√,https://www.netralnews.com/tanam-5000-mangrove-di-lima-wilayah-cgs-cimb-ayo-buat-satu-bumi-ini-lebih-hijau/amM2M21kWThBRThBdmJwR1RXTUdNQT09,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ","Planting 5,000 Mangroves in Five Regions, CGS-CIMB: Let’s Make This One Earth Greener!"
151,Malang,Jawa Timur,"Pertamina Patra Niaga,
Clungup Mangrove Conservation (CMC) Tiga Warna 
dan Dinas Kehutanan Provinsi Jawa Timur",Pertamina tanam 2.000 mangrove dukung dekarbonisasi ,2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://www.antaranews.com/berita/4167996/pertamina-tanam-2000-mangrove-dukung-dekarbonisasi,Pertamina tanam 2.000 mangrove dukung dekarbonisasi ,"Pertamina Plants 2,000 Mangroves to Support Decarbonization"
152,Kota Surabaya,Jawa Timur,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,3334,seedlings,3334 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings Across Six Coastal Areas in Indonesia"
153,Mojokerto,Jawa Timur,PT. Surabaya Autocomp Indonesia (SAI) ,Pemkab Mojokerto Apresiasi CSR PT SAI: 2000 Pohon untuk Lestarikan Lingkungan,2000,seedlings,2000 bibit mangrove ditanam,2025,√,https://planet.merdeka.com/hot-news/pemkab-mojokerto-apresiasi-csr-pt-sai-2000-pohon-untuk-lestarikan-lingkungan-410989-mvk.html,Pemkab Mojokerto Apresiasi CSR PT SAI: 2000 Pohon untuk Lestarikan Lingkungan,"Mojokerto Regency Government Appreciates CSR of PT SAI: 2,000 Trees to Preserve the Environment"
154,Pasuruan,Jawa Timur,Kodam V/Brawijaya,Penanaman Mangrove Secara Serentak di Wilayah Kodim 0819/Pasuruan ,4000,seedlings,4000 bibit mangrove ditanam,2022,√,https://tniad.mil.id/penanaman-mangrove-secara-serentak-wilayah-kodim-0819pasuruan/,Penanaman Mangrove Secara Serentak di Wilayah Kodim 0819/Pasuruan ,Simultaneous Mangrove Planting in Kodim 0819/Pasuruan Area
155,Probolinggo,Jawa Timur,PT Semen Indonesia (Persero) Tbk (SIG) bersama Pemerintah Provinsi Jawa Timur,"SIG dan Pemprov Jatim Tanam 17.845 Mangrove, Dorong Ekonomi Pesisir ",17845,seedlings,17845 bibit mangrove ditanam,2025,√,https://wartaekonomi.co.id/read580083/sig-dan-pemprov-jatim-tanam-17845-mangrove-dorong-ekonomi-pesisir,"SIG dan Pemprov Jatim Tanam 17.845 Mangrove, Dorong Ekonomi Pesisir ","SIG and East Java Provincial Government Plant 17,845 Mangroves, Boost Coastal Economy"
156,Kota Surabaya,Jawa Timur,PT PAL Indonesia,"2.000 Bibit Mangrove Ditanam di Pesisir Surabaya, PT PAL: Kepedulian Terhadap Lingkungan",2000,seedlings,2000 bibit mangrove ditanam,2025,√,https://surabaya.tribunnews.com/surabaya-metro/1913103/2000-bibit-mangrove-ditanam-di-pesisir-surabaya-pt-pal-kepedulian-terhadap-lingkungan,"2.000 Bibit Mangrove Ditanam di Pesisir Surabaya, PT PAL: Kepedulian Terhadap Lingkungan","2,000 Mangrove Seedlings Planted on Surabaya Coast, PT PAL: Caring for the Environment"
157,Kota Surabaya,Jawa Timur,"PT PP (Persero) Tbk, PT PP (Persero) Tbk (PTPP)",DLH Kalsel Tanam 8.000 batang mangrove di pesisir Tanah Bumbu ,720,seedlings,720 bibit mangrove ditanam,2025,√,https://voi.id/en/economy/502722,DLH Kalsel Tanam 8.000 batang mangrove di pesisir Tanah Bumbu ,"South Kalimantan Environmental Agency Plants 8,000 Mangroves on Tanah Bumbu Coast"
158,Kota Surabaya,Jawa Timur,PT Blue Bird Tbk,Dukung Konservasi Lingkungan di Surabaya 5000 Bibit Mangrove Siap DiTanam ,5000,seedlings,5000 bibit mangrove ditanam,2022,√,https://jatimnet.com/dukung-konservasi-lingkungan-di-surabaya-5000-bibit-mangrove-siap-ditanam,Dukung Konservasi Lingkungan di Surabaya 5000 Bibit Mangrove Siap DiTanam ,"Supporting Environmental Conservation in Surabaya, 5,000 Mangrove Seedlings Ready to be Planted"
159,Kota Surabaya,Jawa Timur,Graha Agung Kencana Group,"Gotong Royong Tanam 700 Bibit Mangrove, Menekan Polusi Udara di Kota Surabaya ",700,seedlings,700 bibit mangrove ditanam,2024,√,https://timesindonesia.co.id/peristiwa-daerah/484171/gotong-royong-tanam-700-bibit-mangrove-menekan-polusi-udara-di-kota-surabaya,"Gotong Royong Tanam 700 Bibit Mangrove, Menekan Polusi Udara di Kota Surabaya ","Community Effort Plants 700 Mangroves, Reducing Air Pollution in Surabaya City"
160,Kota Surabaya,Jawa Timur,"PT United Tractors Tbk (UT) dan para entitas usahanya, 
PT Bina Pertiwi (BP), 
PT Triatra Sinergia Pratama (Triatra), 
dan PT United Tractors Semen Gresik (UTSG)",Grup United Tractors Lepas Burung Endemik dan Tanam 1.500 Bibit Mangrove di Surabaya ,1500,seedlings,1500 bibit mangrove ditanam,2025,√,https://www.tambang.co.id/grup-united-tractors-lepas-burung-endemik-dan-tanam-1-500-bibit-mangrove-di-surabaya,Grup United Tractors Lepas Burung Endemik dan Tanam 1.500 Bibit Mangrove di Surabaya ,"United Tractors Group Releases Endemic Birds and Plants 1,500 Mangroves in Surabaya"
161,Kota Surabaya,Jawa Timur,Pemerintah Provinsi Jawa Timur - Festival Mangrove Jatim V,Gubernur Khofifah Gelar Festival Mangrove di Romokalisari Land -  Dinas Komunikasi dan Informatika Provinsi Jawa Timur,10000,seedlings,10000 bibit mangrove ditanam,2023,√,https://kominfo.jatimprov.go.id/berita/gubernur-khofifah-gelar-festival-mangrove-di-romokalisari-land,Gubernur Khofifah Gelar Festival Mangrove di Romokalisari Land -  Dinas Komunikasi dan Informatika Provinsi Jawa Timur,Governor Khofifah Holds Mangrove Festival at Romokalisari Land - East Java Provincial Communication and Information Office
162,Kota Surabaya,Jawa Timur,PT Suparma Tbk,"Komitmen Lingkungan, See-U Tissue & Towel Tanam 3 Ribu Bibit Mangrove di Surabaya",3000,seedlings,3000 bibit mangrove ditanam,2025,√,https://kabarbisnis.com/read/28130025/komitmen-lingkungan-see-u-tissue-towel-tanam-3-ribu-bibit-mangrove-di-surabaya,"Komitmen Lingkungan, See-U Tissue & Towel Tanam 3 Ribu Bibit Mangrove di Surabaya","Environmental Commitment, See-U Tissue & Towel Plants 3,000 Mangrove Seedlings in Surabaya"
163,Kota Surabaya,Jawa Timur,PT Sariguna Primatirta Tbk (CLEO),"Kurangi Pemanasan Global, CLEO Tanam 55.000 Bibit Mangrove ",55000,seedlings,55000 bibit mangrove ditanam,2021,√,https://investor.id/bumee/276239/kurangi-pemanasan-global-cleo-tanam-55000-bibit-mangrove,"Kurangi Pemanasan Global, CLEO Tanam 55.000 Bibit Mangrove ","Reduce Global Warming, CLEO Plants 55,000 Mangrove Seedlings"
164,Kota Surabaya,Jawa Timur,PT Asia Pramulia (Aspra) ,PT Asia Pramulia Dukung Pelestarian Lingkungan dengan Tanam Mangrove ,500,seedlings,500 bibit mangrove ditanam,2024,√,https://detiknews.id/kesehatan/pt-asia-pramulia-dukung-pelestarian-lingkungan-dengan-tanam-mangrove/,PT Asia Pramulia Dukung Pelestarian Lingkungan dengan Tanam Mangrove ,PT Asia Pramulia Supports Environmental Conservation with Mangrove Planting
165,Kota Surabaya,Jawa Timur,PT Cipta Krida Bahari (CKB Group),"Respon Perubahan Iklim, CKB Group Hadirkan Program Sinergi CSR â€œCinta Kepada Bumiâ€ ",6000,seedlings,6000 bibit mangrove ditanam (1.5 hektare),2022,√,https://penafaktual.com/respon-perubahan-iklim-ckb-group-hadirkan-program-sinergi-csr-cinta-kepada-bumi/,"Respon Perubahan Iklim, CKB Group Hadirkan Program Sinergi CSR â€œCinta Kepada Bumiâ€ ","Responding to Climate Change, CKB Group Launches CSR Synergy Program “Love for the Earth”"
166,Trenggalek,Jawa Timur,Pertamina Patra Niaga Fuel,"Dukung pertahankan ekosistem, PLN Tanam 5.000 mangrove di Sulawesi Tenggara ",1000,seedlings,1000 bibit mangrove ditanam,2025,√,https://kabarbaik.co/pertamina-patra-niaga-lepas-350-tukik-dan-tanam-1-000-mangrove-perkuat-konservasi-pantai-kili-kili/,"Dukung pertahankan ekosistem, PLN Tanam 5.000 mangrove di Sulawesi Tenggara ","Supporting Ecosystem Preservation, PLN Plants 5,000 Mangroves in Southeast Sulawesi"
167,Trenggalek,Jawa Timur,PT PLN (Persero) ,"Pertamina Patra Niaga Lepas 350 Tukik dan Tanam 1.000 Mangrove, Perkuat Konservasi Pantai Kili",100,seedlings,100 bibit mangrove ditanam,2025,√,https://kilasjatim.com/rangkul-masyarakat-trenggalek-menuju-net-zero-emission-pln-aksi-tanam-mangrove-di-pancer-cengkrong/,"Pertamina Patra Niaga Lepas 350 Tukik dan Tanam 1.000 Mangrove, Perkuat Konservasi Pantai Kili","Pertamina Patra Niaga Releases 350 Hatchlings and Plants 1,000 Mangroves, Strengthening Kili Beach Conservation"
168,Mempawah,Kalimantan Barat,CGS-CIMB Sekuritas Indonesia dan Seasoldier,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ",1000,seedlings,1000 bibit mangrove ditanam,2022,√,https://www.netralnews.com/tanam-5000-mangrove-di-lima-wilayah-cgs-cimb-ayo-buat-satu-bumi-ini-lebih-hijau/amM2M21kWThBRThBdmJwR1RXTUdNQT09,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ","Planting 5,000 Mangroves in Five Regions, CGS-CIMB: Let’s Make This One Earth Greener!"
169,Mempawah,Kalimantan Barat,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,4150,seedlings,4150 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings Across Six Coastal Areas in Indonesia"
170,Kubu Raya,Kalimantan Barat,Astra Credit Companies (ACC),"CSR Astra Credit Companies (ACC), Tanam Ribuan Pohon Mangrove di Kalbar",2500,seedlings,2500 bibit mangrove ditanam,2022,√,https://autoride.co.id/csr-astra-credit-companies-acc-tanam-ribuan-pohon-mangrove-di-kalbar/,"CSR Astra Credit Companies (ACC), Tanam Ribuan Pohon Mangrove di Kalbar",CSR Astra Credit Companies (ACC) Plants Thousands of Mangroves in West Kalimantan
171,Mempawah,Kalimantan Barat,"MIND ID bersama anggota grupnya, 
PT Indonesia Asahan Aluminium (INALUM), 
PT Aneka Tambang Tbk (ANTAM),
dan PT Borneo Alumina Indonesia (PT BAI)",INALUM Perkuat Strategi Dekarbonisasi melalui Restorasi Mangrove Bersama Grup MIND ID ,40000,seedlings,40000 bibit mangrove ditanam,2025,√,https://www.media24jam.com/inalum-perkuat-strategi-dekarbonisasi-melalui-restorasi-mangrove-bersama-grup-mind-id/,INALUM Perkuat Strategi Dekarbonisasi melalui Restorasi Mangrove Bersama Grup MIND ID ,INALUM Strengthens Decarbonization Strategy Through Mangrove Restoration with MIND ID Group
172,Mempawah,Kalimantan Barat,Astra Motor ,"Turut Jaga Kelestarian Lingkungan Pesisir saat Tanam Mangrove, Astra Motor Kalbar Tingkatkan Nilai Ekonomis Habitat Laut ",1000,seedlings,1000 bibit mangrove ditanam,2025,√,https://www.suarapemredkalbar.com/read/potret/20082025/turut-jaga-kelestarian-lingkungan-pesisir-saat-tanam-mangrove-astra-motor-kalbar-tingkatkan-nilai-ekonomis-habitat-laut,"Turut Jaga Kelestarian Lingkungan Pesisir saat Tanam Mangrove, Astra Motor Kalbar Tingkatkan Nilai Ekonomis Habitat Laut ","Preserving Coastal Environment While Planting Mangroves, Astra Motor West Kalimantan Increases Economic Value of Marine Habitat"
173,Tanah Laut,Kalimantan Selatan,Adaro Logistics ,Adaro Logistic Tanam ribuan pohon Bakau di kawasan mangrove Kurau ,2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://kalsel.antaranews.com/berita/424847/adaro-logistic-tanam-ribuan-pohon-bakau-di-kawasan-mangrove-kurau,Adaro Logistic Tanam ribuan pohon Bakau di kawasan mangrove Kurau ,Adaro Logistic Plants Thousands of Mangroves in Kurau Mangrove Area
174,Tanah Bumbu,Kalimantan Selatan,Dinas Lingkungan Hidup (DLH) Provinsi Kalimantan Selatan,PetroChina Dorong Ekowisata dan Ekonomi Tanjung Jabung Lewat Mangrove ,15000,seedlings,15000 bibit mangrove ditanam,2023-2024,√,https://kalsel.antaranews.com/berita/419832/dlh-kalsel-tanam-8000-batang-mangrove-di-pesisir-tanah-bumbu,PetroChina Dorong Ekowisata dan Ekonomi Tanjung Jabung Lewat Mangrove ,PetroChina Promotes Ecotourism and Economy in Tanjung Jabung Through Mangroves
175,Kotawaringin Barat,Kalimantan Tengah,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,3334,seedlings,3334 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings Across Six Coastal Areas in Indonesia"
176,Balikpapan,Kalimantan Timur,"PT Pamapersada Nusantara (PAMA)
","Menanam Mangrove, Mereduksi Emisi, Menuai Bisnis Keberlanjutan",300,seedlings,300 bibit mangrove ditanam,2023,√,https://money.kompas.com/read/2023/09/07/104521826/menanam-mangrove-mereduksi-emisi-menuai-bisnis-keberlanjutan?page=all,"Menanam Mangrove, Mereduksi Emisi, Menuai Bisnis Keberlanjutan","Planting Mangroves, Reducing Emissions, Harvesting Sustainable Business"
177,Balikpapan,Kalimantan Timur,Intipratama Group,Polda Kaltim-Intipratama Group Tanam Mangrove di Pantai SPN Pakai Metode Buispot ,426,seedlings,426 bibit mangrove ditanam,2024,√,https://www.niaga.asia/polda-kaltim-intipratama-group-tanam-mangrove-di-pantai-spn-pakai-metode-buispot/,Polda Kaltim-Intipratama Group Tanam Mangrove di Pantai SPN Pakai Metode Buispot ,East Kalimantan Police and Intipratama Group Plant Mangroves at SPN Beach Using Buispot Method
178,Balikpapan,Kalimantan Timur,Persatuan Wanita Patra (PWP) Pertamina Patra Niaga Regional Kalimantan,PWP Patra Niaga Regional Kalimantan Gelar Baksos dan Kunjungan Ke Mitra CSR ,100,seedlings,100 Bibit mangrove ditanam,2022,√,https://www.inibalikpapan.com/persatuan-wanita-patra-niaga-regional-kalimantan-gelar-bakti-sosial/,PWP Patra Niaga Regional Kalimantan Gelar Baksos dan Kunjungan Ke Mitra CSR ,PWP Patra Niaga Kalimantan Regional Holds Social Service and CSR Partner Visits
179,Balikpapan,Kalimantan Timur,Telkomsel ,Telkomsel tanam 600 mangrove di Balikpapan peringati 30 tahun layanan,600,seedlings,600 bibit mangrove ditanam,2025,√,https://kaltim.antaranews.com/berita/239093/telkomsel-tanam-600-mangrove-di-balikpapan-peringati-30-tahun-layanan,Telkomsel tanam 600 mangrove di Balikpapan peringati 30 tahun layanan,Telkomsel Plants 600 Mangroves in Balikpapan to Celebrate 30 Years of Service
180,Berau,Kalimantan Timur,PT Asian Bulk Logistics (ABL),"PT ABL Tanam 2.000 Pohon Mangrove, Komitmen Lestarikan Lingkungan. ",2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://beraupost.jawapos.com/kombis/2444883060/pt-abl-tanam-2000-pohon-mangrove-komitmen-lestarikan-lingkungan,"PT ABL Tanam 2.000 Pohon Mangrove, Komitmen Lestarikan Lingkungan. ","PT ABL Plants 2,000 Mangroves, Committed to Environmental Conservation"
181,Bontang,Kalimantan Timur,PT Badak LNG,Badak LNG Selenggarakan Penanaman 1.000 Bibit Mangrove di Tihi,1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.ruangenergi.com/badak-lng-selenggarakan-penanaman-1-000-bibit-mangrove-di-tihi-tihi/,Badak LNG Selenggarakan Penanaman 1.000 Bibit Mangrove di Tihi,"Badak LNG Holds Planting of 1,000 Mangrove Seedlings in Tihi"
182,Bontang,Kalimantan Timur,PT Badak LNG,Peresmian Hutan Pertamina Badak LNG,215000,seedlings,215000 bibit mangrove ditanam,2022,√,https://www.antaranews.com/foto/3304735/peresmian-hutan-pertamina-badak-lng,Peresmian Hutan Pertamina Badak LNG,Inauguration of Pertamina Forest by Badak LNG
183,Bontang,Kalimantan Timur,PT Pupuk Kalimantan Timur,Pupuk Kaltim Lakukan Konservasi Terumbu Karang Seluas 2.557 M2 dan Mangrove 18 Hektar ,551167,seedlings,551167 bibit mangrove ditanam di lahan seluas 18 hektare,2021-2025,√,https://swa.co.id/read/460011/pupuk-kaltim-lakukan-konservasi-terumbu-karang-seluas-2557-m2-dan-mangrove-18-hektar,Pupuk Kaltim Lakukan Konservasi Terumbu Karang Seluas 2.557 M2 dan Mangrove 18 Hektar ,"Pupuk Kaltim Conserves 2,557 m2 of Coral Reefs and 18 Hectares of Mangroves"
184,Kutai Kartanegara,Kalimantan Timur,Pertamina Hulu Kalimantan Timur (PHKT),Peduli Lingkungan PHKT Tanam 8.000 Bibit Mangrove di Pantai Biru Kersik Marangkayu,8000,seedlings,8000 bibit mangrove ditanam,2021,√,https://www.inibalikpapan.com/peduli-lingkungan-phkt-tanam-8-000-bibit-mangrove-di-pantai-biru-kersik-marangkayu/,Peduli Lingkungan PHKT Tanam 8.000 Bibit Mangrove di Pantai Biru Kersik Marangkayu,"Caring for the Environment, PHKT Plants 8,000 Mangrove Seedlings at Kersik Marangkayu Blue Beach"
185,Kutai Kartanegara,Kalimantan Timur,PT Pertamina EP (PEP) Sangasanga Field,Pertamina EP Sangasanga Field Siapkan Kemandirian Pokdarwis Ekowisata Sungai Hitam Lestari Bagi Pelestarian Bekantan,2500,seedlings,2500 bibit mangrove ditanam,2023,√,https://www.kutairaya.com/news.php?id=8409,Pertamina EP Sangasanga Field Siapkan Kemandirian Pokdarwis Ekowisata Sungai Hitam Lestari Bagi Pelestarian Bekantan,Pertamina EP Sangasanga Field Prepares Independence of Ecotourism Community Group for Proboscis Monkey Conservation
186,Kutai Timur,Kalimantan Timur,PT Pamapersada Nusantara KPC Coal Mining Project Sangatta,"Peduli Lingkungan, PT PAMA Sangatta Bersama Multi Pihak Tanam Ratusan Mangrove",100,seedlings,100 bibit mangrove ditanam,2023,√,https://www.jejakkhatulistiwa.co.id/peduli-lingkungan-pt-pama-sangatta-bersama-multi-pihak-tanam-ratusan-mangrove/,"Peduli Lingkungan, PT PAMA Sangatta Bersama Multi Pihak Tanam Ratusan Mangrove","Caring for the Environment, PT PAMA Sangatta Collaborates with Multiple Stakeholders to Plant Hundreds of Mangroves"
187,Kutai Timur dan Bontang,Kalimantan Timur,PT Pertamina Gas,"Peringati Hari Konservasi Alam, Pertagas Gelar Kegiatan Pelestarian Ekosistem Mangrove di Kaltim",200,seedlings,200 bibit mangrove ditanam,2021,√,https://www.dunia-energi.com/peringati-hari-konservasi-alam-pertagas-gelar-kegiatan-pelestarian-ekosistem-mangrove-di-kaltim/,"Peringati Hari Konservasi Alam, Pertagas Gelar Kegiatan Pelestarian Ekosistem Mangrove di Kaltim","Commemorating Nature Conservation Day, Pertagas Holds Mangrove Ecosystem Conservation Activities in East Kalimantan"
188,Bulungan,Kalimantan Utara,PT Pertamina EP (PEP) Bunyu Field,Pertamina Tanam 1.000 mangrove untuk cegah abras di Bunyu,1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://kaltara.antaranews.com/berita/506574/pertamina-tanam-1000-mangrove-untuk-cegah-abras-di-bunyu,Pertamina Tanam 1.000 mangrove untuk cegah abras di Bunyu,"Pertamina Plants 1,000 Mangroves to Prevent Abrasion in Bunyu"
189,Tarakan,Kalimantan Utara,Telkom Indonesia ,Pertamina gandeng warga Tanam 300 pohon mangrove di Malut,5000,seedlings,5000 bibit mangrove ditanam,2025,√,https://jendelakaltara.co/2025/05/gubernur-penanaman-5-ribu-bibit-mangrove-bentuk-konkrit-telkom-indonesia-lestarikan-lingkungan/,Pertamina gandeng warga Tanam 300 pohon mangrove di Malut,Pertamina Collaborates with Residents to Plant 300 Mangroves in North Maluku
190,Seruyan,Kalmantan Tengah,PT Pelindo Multi Terminal (SPMT) Grup,SPMT tanam 30.000 bibit mangrove perkuat ekosistem pesisir Kalteng ,30000,seedlings,30000 bibit mangrove ditanamdi lahan seluas 10 hektare,2024,√,https://www.antaranews.com/berita/4352927/spmt-tanam-30000-bibit-mangrove-perkuat-ekosistem-pesisir-kalteng,SPMT tanam 30.000 bibit mangrove perkuat ekosistem pesisir Kalteng ,"SPMT Plants 30,000 Mangrove Seedlings to Strengthen Coastal Ecosystems in Central Kalimantan"
191,Bangka Selatan,Kepulauan Bangka Belitung,PT Asia Surya Perkasa dan Universitas Bangka Belitung,"Wujud Komitmen Pelestarian Lingkungan, Honda Babel Tanam Mangrove di Pulau Lepar Bersama Mahasiswa UBB",250,seedlings,250 bibit mangrove ditanam,2025,√,https://babelpos.disway.id/read/676431/wujud-komitmen-pelestarian-lingkungan-honda-babel-tanam-mangrove-di-pulau-lepar-bersama-mahasiswa-ubb,"Wujud Komitmen Pelestarian Lingkungan, Honda Babel Tanam Mangrove di Pulau Lepar Bersama Mahasiswa UBB","Demonstrating Environmental Conservation Commitment, Honda Babel Plants Mangroves in Lepar Island with UBB Students"
192,Bangka Tengah,Kepulauan Bangka Belitung,PT Timah Tbk,PT Timah tanam 48.000 mangrove di Pantai Menuang Bangka Tengah,48000,seedlings,48000 bibit mangrove ditanam,2024,√,https://www.antaranews.com/berita/4220395/pt-timah-tanam-48000-mangrove-di-pantai-menuang-bangka-tengah,PT Timah tanam 48.000 mangrove di Pantai Menuang Bangka Tengah,"PT Timah Plants 48,000 Mangroves at Menuang Beach, Central Bangka"
193,Bangka Tengah,Kepulauan Bangka Belitung,PT PLN Wilayah Bangka Belitung,"10.000 Mangrove Ditanam di Bangka, Ada Harapan Tersembunyi",10000,seedlings,10000 bibit mangrove ditanam,2025,√,https://regional.kompas.com/read/2025/08/02/083531678/10000-mangrove-ditanam-di-bangka-ada-harapan-tersembunyi,"10.000 Mangrove Ditanam di Bangka, Ada Harapan Tersembunyi","10,000 Mangroves Planted in Bangka, Hidden Hopes Emerge"
194,Bangka Tengah,Kepulauan Bangka Belitung,ICDX Group dan BAPPEBTI,"Rayakan HUT ke-14, ICDX Group Tanam 14 Ribu Pohon Mangrove di Bangka Tengah ",14000,seedlings,14000 bibit mangrove ditanam,2023,√,https://bangka.tribunnews.com/2023/07/14/rayakan-hut-ke-14-icdx-group-tanam-14-ribu-pohon-mangrove-di-bangka-tengah,"Rayakan HUT ke-14, ICDX Group Tanam 14 Ribu Pohon Mangrove di Bangka Tengah ","Celebrating 14th Anniversary, ICDX Group Plants 14,000 Mangroves in Central Bangka"
195,Batam,Kepulauan Riau,"Asuransi Astra, Garda Oto berkolaborasi dengan Agung Toyota","Asuransi Astra, Garda Oto dan Agung Toyota Kolaborasi Tanam 3.000 Mangrove di Batam",3000,seedlings,3000 mangrove ditanam,2025,√,https://www.theiconomics.com/brand-equity/asuransi-astra-garda-oto-dan-agung-toyota-kolaborasi-tanam-3-000-mangrove-di-batam/,"Asuransi Astra, Garda Oto dan Agung Toyota Kolaborasi Tanam 3.000 Mangrove di Batam","Asuransi Astra, Garda Oto and Agung Toyota Collaborate to Plant 3,000 Mangroves in Batam"
196,Batam,Kepulauan Riau,PT TDK Electronics Indonesia dan BP Batam,BP Batam dan PT TDK Tanam Seribu Mangrove di Waduk Tembesi ,1000,seedlings,1000 bibit mangrove ditanam ,2021,√,https://bpbatam.go.id/bp-batam-dan-pt-tdk-tanam-seribu-mangrove-di-waduk-tembesi/,BP Batam dan PT TDK Tanam Seribu Mangrove di Waduk Tembesi ,"BP Batam and PT TDK Plant 1,000 Mangroves in Tembesi Reservoir"
197,Batam,Kepulauan Riau,"Bank Danamon Indonesia Tbk (Danamon), dan PT Adira Dinamika Multi Finance, Tbk. (Adira Finance)",Danamon dan Adira Mengembangkan Kawasan Mangrove Tanjung Piayu ,32000,seedlings,32000 bibit mangrove ditanam,2023,√,https://swa.co.id/read/435231/danamon-dan-adira-mengembangkan-kawasan-mangrove-tanjung-piayu,Danamon dan Adira Mengembangkan Kawasan Mangrove Tanjung Piayu ,Danamon and Adira Develop Mangrove Area in Tanjung Piayu
198,Batam,Kepulauan Riau,PT Cipta Persada Mulia (CPM),"Dukung Pelestarian Alam Berkelanjutan, PT Cipta Persada Mulia Tanam Mangrove di Pesisir Bakau Serip, Nongsa Batam",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.batamnews.co.id/berita-112807-dukung-pelestarian-alam-berkelanjutan-pt-cipta-persada-mulia-tanam-mangrove-di-pesisir-bakau-serip-nongsa-batam.html,"Dukung Pelestarian Alam Berkelanjutan, PT Cipta Persada Mulia Tanam Mangrove di Pesisir Bakau Serip, Nongsa Batam","Supporting Sustainable Nature Conservation, PT Cipta Persada Mulia Plants Mangroves in Bakau Serip Coast, Nongsa Batam"
199,Batam,Kepulauan Riau,Astra Credit Companies (ACC),"Jaga Pesisir Batam, Perusahaan Pembiayaan Astra (ACC) Tanam 1000 Mangrove ",1000,seedlings,1000 bibit mangrove ditanam,2023,√,https://batampos.jawapos.com/berita/2424064947/jaga-pesisir-batam-perusahaan-pembiayaan-astra-acc-tanam-1000-mangrove,"Jaga Pesisir Batam, Perusahaan Pembiayaan Astra (ACC) Tanam 1000 Mangrove ","Protecting Batam’s Coastline, Astra Credit Companies (ACC) Plants 1,000 Mangroves"
200,Batam,Kepulauan Riau,PT Ho Wah Genting (HWG),"Kolaborasi PT HWG dan Pemko Batam, Ribuan Mangrove DiTanam di Tanjungpiayu",2024,seedlings,2024 bibit mangrove ditanam,2024,√,https://batampos.co.id/2024/12/14/kolaborasi-pt-hwg-dan-pemko-batam-ribuan-mangrove-ditanam-di-tanjungpiayu/,"Kolaborasi PT HWG dan Pemko Batam, Ribuan Mangrove DiTanam di Tanjungpiayu","Collaboration Between PT HWG and Batam City Government, Thousands of Mangroves Planted in Tanjung Piayu"
201,Batam,Kepulauan Riau,PT PLN Batam,PLN Batam Tanam 5.000 Bibit Mangrove di Hutan Mangrove Tanjung Piayu,5000,seedlings,5000 bibit mangrove ditanam ,2022,√,https://www.batamnews.co.id/berita-93675-pln-batam-tanam-5-000-bibit-mangrove-di-hutan-mangrove-tanjung-piayu.html,PLN Batam Tanam 5.000 Bibit Mangrove di Hutan Mangrove Tanjung Piayu,"PLN Batam Plants 5,000 Mangroves in Tanjung Piayu Mangrove Forest"
